H,H,HN,HN,HN,H,,HN
HA,HA,HA,HA,HA,HA,,HA
HB,HB,HB,HB,HB,HB,,HB
HG11,1HG1,HG11,HG21,HG11,HG11,,HG11
HG12,2HG1,HG12,HG22,HG12,HG12,,HG12
HG13,3HG1,HG13,HG23,HG13,HG13,,HG13
HG21,1HG2,HG21,HG11,HG21,HG21,,HG21
HG22,2HG2,HG22,HG12,HG22,HG22,,HG22
HG23,3HG2,HG23,HG13,HG23,HG23,,HG23
C,C,,C,C,C,C,C
CA,CA,,CA,CA,CA,CA,CA
CB,CB,,CB,CB,CB,CB,CB
CG1,CG1,,CG2,CG1,CG1,CG1,CG1
CG2,CG2,,CG1,CG2,CG2,CG2,CG2
N,N,,N,N,N,N,N
O,O,,O,O,O,O,O
